Date,RADL3,BRML3,ABEV3,PCAR4
2015-03-25,0.02760064808211255,-0.009486121400646459,-0.005411268615536545,-0.0047054096638033775
2015-03-26,0.007233304593520061,-0.017424887428224227,-0.0180678334099518,-0.03420919665580348
2015-03-27,-0.005420067469339145,-0.032022460290040265,0.007705046374405182,0.0068728792877620504
2015-03-30,0.016172859245600968,0.055976307373322765,0.02169282461125997,0.015682496000617777
2015-03-31,0.02081571012373951,0.00236642856718142,-0.010245438770909,-0.006765573555744647
2015-04-01,-0.0017473357582244457,0.03423250753497111,0.02303879023081841,0.0078023802841848
2015-04-02,0.051468165420609606,0.04952230124096255,-0.0010598835120431353,0.013381568695831368
2015-04-06,0.009917436657345924,0.025729708292600125,0.019428282395376906,0.01572439195705408
2015-04-07,0.008190053970044403,-0.02139167332063908,0.010346703788660348,0.004619409700669337
2015-04-08,0.01586050402363201,-0.01087347374233446,0.0010288066751064535,0.0018018022892629455
2015-04-09,-0.007413410261827361,-0.02210094229442832,-0.0051546505886644264,0.00806817464951018
2015-04-10,-0.007142887512380114,0.025922598480577954,0.0077220460939103185,0.003960401216096914
2015-04-13,0.011339826683373114,-0.027594389939678207,-0.0015396461855928612,0.007874056430905866
2015-04-14,0.04288172748326576,0.007804359161665435,-0.019186484331523982,-0.022205511912489966
2015-04-15,-0.01555241300748477,0.010490548172843383,0.0,-0.008152629323206304
2015-04-16,-0.003139720004667641,0.0016486402455243704,0.0,-0.009647193378002801
2015-04-17,-0.020331068783583633,-0.032903451325895776,-0.007884403524148983,0.00010203561051662277
2015-04-20,0.009263762143902048,0.0028332904602808863,-0.0026420094628386965,-0.010667861964633712
2015-04-22,-0.0012726695958943336,0.006197822037469773,0.0026420094628387975,0.002883330182100899
2015-04-23,0.015479696240243581,0.03532323802903222,-0.0037007708110807325,0.0025673955052457334
2015-04-24,0.0204785313435407,0.004333335424445046,0.0010587613482421182,0.013245226750020505
2015-04-27,0.007039049722217249,-0.06930528428156785,-0.005305052229693006,0.009068072213970518
2015-04-28,-0.02126756072058669,0.006919872122497029,0.004775811677514683,0.003004509020298722
2015-04-29,0.007757990810939337,-0.029155434865507607,-0.0031813388443572483,0.0038924147153438535
2015-04-30,0.055611623121649904,-0.03003106758742335,0.0058247450888712395,0.015910212580835973
2015-05-01,0.0,0.0,0.0,0.0
2015-05-04,0.001460920639674648,0.0,0.02141633171785871,0.0
2015-05-05,0.010167117355444242,0.024098117780300177,0.013347220732463888,0.006741927925932637
2015-05-06,0.02144471027890322,-0.03390395315210916,0.004578995535687995,-0.009195916887499309
2015-05-07,0.01766483617980508,-0.004315953239611352,-0.005089069507471181,-0.004432413068066699
2015-05-08,0.012429382498085558,0.01655236598124231,0.01267444089672786,-0.03444634381690948
2015-05-11,0.02306437879691795,-0.02400054382463183,-0.0015124782313575135,-0.03144880624052343
2015-05-12,-0.02388821517469549,-0.015706445329438247,-0.014227882287205278,-0.029207746197060583
2015-05-13,0.0054794657646255705,-0.0006337474851926781,-0.006160183751457734,-0.004243057010440579
2015-05-14,0.010869672236903891,0.03668868335275966,0.0010293361691140592,-0.006233956865031583
2015-05-15,0.026668247082161273,0.0030508968332566334,0.007175838070071191,0.010151263288955157
2015-05-18,0.0,-0.011635256288384372,-0.011299555253933282,-0.017528932605762097
2015-05-19,-0.030459207484708574,0.0006161898059510432,-0.0051786754784513035,-0.012567590202428069
2015-05-20,0.009181809037423709,-0.0006161898059510408,-0.028972266083981235,-0.005611687004776712
2015-05-21,0.01758638450207577,0.008584359455127786,0.0037343334941186846,0.01185961539602131
2015-05-22,-0.006093541175830803,-0.017243048671302542,0.0,-0.01377478524857073
2015-05-25,0.01031073245493721,-0.00936170836290242,0.0026588688889439883,0.015330686873854187
2015-05-26,-0.009779382814380688,-0.030553656805743557,-0.015520782531351935,-0.029984211982512155
2015-05-27,-0.02392265675841633,0.016030486283567787,-0.003782765926560475,-0.0024059128292062914
2015-05-28,-0.00655024176071843,-0.003819628895600793,0.0005412720023895905,-0.013511378246858378
2015-05-29,-0.024952777865252337,-0.029818752015664345,-0.004338401598598242,-0.004194343793259287
2015-06-01,0.01863494336346349,-0.009918772119861002,0.00704037568232852,-0.008795131452827289
2015-06-02,-0.008301099134039553,0.026231711007118325,0.0026946930884238474,-0.0037762612729591596
2015-06-03,0.008852063335305181,-0.018290552270694534,-0.009735068770752467,-0.015249282871545571
2015-06-04,0.0,0.0,0.0,0.0
2015-06-05,0.005219075162201241,-0.017959299332754933,0.013495481474884509,-0.004934121569362081
2015-06-08,0.0,0.0,-0.0064551057925559836,0.008887879789999395
2015-06-09,0.004646721494788816,-0.01419086705529918,-0.003784811222562324,0.0008366701019953543
2015-06-10,-0.018162304422450884,0.024209007651630407,0.018250640761197433,0.019052703425173772
2015-06-11,0.0038802709439897613,-0.009346551827614078,-0.0026631174194837732,-0.02276328282170937
2015-06-12,0.023240964039450886,-0.021005177573237208,-0.0037403196157232924,-0.02550539034041301
2015-06-15,0.010752791776261697,-0.012408830061278693,-0.014016401973535658,0.008696239505772183
2015-06-16,0.002670228555878892,-0.0062581030272787835,0.017223245983115133,-0.010173526491168794
2015-06-17,-0.00106723596042267,0.004868787898444009,-0.002671655342804562,0.0004926715212351167
2015-06-18,0.005855752692219748,0.03077576220223659,0.0058682483684319746,-0.006919587723101439
2015-06-19,-0.0037224185497996038,-0.00540717415148175,0.005305052229693098,-0.01436178291093176
2015-06-22,0.03507294843387571,-0.004746537240638236,0.0036968618813262026,-0.014571052858256491
