"","x"
"rho.1",-0.120348410412045
"rho.2",-0.064438087660848
"rho.3",-0.0502984411608381
"rho.4",0.726128286128527
"rho.5",0.729154322084049
"rho.6",0.936253458366849
"df",6.95221131465328
